"ORF","Gene","RLS_Del_alpha","N","BY4742","N","p-value","RLS_Del_a","N","BY4741","N","p-value","RLS_Del.pooled","N","Pooled","N","p-value"
"YFL001W","DEG1",27.8,-35,24.5,-35,1.90E-001,0,0,0,0,0.00E+000,27.8,-35,24.5,-35,1.90E-001
"YLR348C","DIC1",23.3,-15,23.7,-15,7.70E-001,0,0,0,0,0.00E+000,23.3,-15,23.7,-15,7.70E-001
"YDR263C","DIN7",22.6,-5,29,-5,5.80E-001,0,0,0,0,0.00E+000,22.6,-5,29,-5,5.80E-001
"YIR004W","DJP1",28.6,-25,24,-55,1.40E-001,0,0,0,0,0.00E+000,28.6,-25,24,-55,1.40E-001
"YER179W","DMC1",22.3,-15,23.7,-15,7.70E-001,0,0,0,0,0.00E+000,22.3,-15,23.7,-15,7.70E-001
"YDR093W","DNF2",22.9,-15,25.2,-20,4.30E-001,0,0,0,0,0.00E+000,22.9,-15,25.2,-20,4.30E-001
"YDR069C","DOA4",15.8,-10,29.6,-10,1.30E-003,0,0,0,0,0.00E+000,15.8,-10,29.6,-10,1.30E-003
"YHR044C","DOG1",25.8,-15,25,-25,9.10E-001,0,0,0,0,0.00E+000,25.8,-15,25,-25,9.10E-001
"YHR043C","DOG2",19.8,-5,22.4,-5,6.90E-001,0,0,0,0,0.00E+000,19.8,-5,22.4,-5,6.90E-001
"YDR273W","DON1",19.8,-5,29,-5,4.20E-001,0,0,0,0,0.00E+000,19.8,-5,29,-5,4.20E-001
"YDR068W","DOS2",27.4,-20,26.9,-30,8.00E-001,0,0,0,0,0.00E+000,27.4,-20,26.9,-30,8.00E-001
"YDR121W","DPB4",25.9,-10,29.6,-10,3.30E-001,0,0,0,0,0.00E+000,25.9,-10,29.6,-10,3.30E-001
"YDR294C","DPL1",23.4,-25,27.6,-25,2.00E-001,0,0,0,0,0.00E+000,23.4,-25,27.6,-25,2.00E-001
"YDR284C","DPP1",31.7,-20,25.9,-55,2.40E-001,0,0,0,0,0.00E+000,31.7,-20,25.9,-55,2.40E-001
"YHR143W","DSE2",15.4,-5,22.4,-5,9.50E-002,0,0,0,0,0.00E+000,15.4,-5,22.4,-5,9.50E-002
"YNR067C","DSE4",27.1,-20,26.9,-30,9.40E-001,0,0,0,0,0.00E+000,27.1,-20,26.9,-30,9.40E-001
"YKR054C","DYN1",20.1,-30,23.5,-50,1.20E-001,0,0,0,0,0.00E+000,20.1,-30,23.5,-50,1.20E-001
"YHR132C","ECM14",22.2,-5,22.4,-5,9.80E-001,0,0,0,0,0.00E+000,22.2,-5,22.4,-5,9.80E-001
"YDR125C","ECM18",26.2,-20,29.6,-20,4.90E-001,0,0,0,0,0.00E+000,26.2,-20,29.6,-20,4.90E-001
,,,,,,,,,,,,,,,,
"YLR390W","ECM19",23.2,-20,24.4,-20,6.50E-001,0,0,0,0,0.00E+000,23.2,-20,24.4,-20,6.50E-001
"YLR436C","ECM30",28.1,-20,26.9,-30,7.20E-001,0,0,0,0,0.00E+000,28.1,-20,26.9,-30,7.20E-001
"YER176W","ECM32",28.4,-25,25.4,-35,4.80E-001,0,0,0,0,0.00E+000,28.4,-25,25.4,-35,4.80E-001
"YLR443W","ECM7",13,-5,28.8,-5,9.50E-002,0,0,0,0,0.00E+000,13,-5,28.8,-5,9.50E-002
"YOR133W","EFT1",17.8,-15,23.8,-25,1.50E-002,0,0,0,0,0.00E+000,17.8,-15,23.8,-25,1.50E-002
"YOR144C","ELG1",25,-5,32.8,-5,3.80E-001,0,0,0,0,0.00E+000,25,-5,32.8,-5,3.80E-001
"YDR512C","EMI1",23.7,-30,25.3,-40,3.40E-001,0,0,0,0,0.00E+000,23.7,-30,25.3,-40,3.40E-001
"YIL005W","EPS1",24.4,-5,29,-5,6.90E-001,0,0,0,0,0.00E+000,24.4,-5,29,-5,6.90E-001
"YHR123W","EPT1",24.4,-15,25,-25,6.30E-001,0,0,0,0,0.00E+000,24.4,-15,25,-25,6.30E-001
"YHR110W","ERP5",15.6,-5,22.4,-5,2.50E-001,0,0,0,0,0.00E+000,15.6,-5,22.4,-5,2.50E-001
"YDR261C","EXG2",19.8,-5,29,-5,2.20E-001,0,0,0,0,0.00E+000,19.8,-5,29,-5,2.20E-001
"YMR052W","FAR3",26.8,-15,23.7,-15,6.30E-001,0,0,0,0,0.00E+000,26.8,-15,23.7,-15,6.30E-001
"YER183C","FAU1",24.8,-20,24.4,-20,8.10E-001,0,0,0,0,0.00E+000,24.8,-20,24.4,-20,8.10E-001
"YLR377C","FBP1",26.4,-45,24.5,-95,3.90E-001,0,0,0,0,0.00E+000,26.4,-45,24.5,-95,3.90E-001
"YMR058W","FET3",22,-10,22.7,-10,1.00E+000,0,0,0,0,0.00E+000,22,-10,22.7,-10,1.00E+000
"YDR130C","FIN1",19.9,-10,29.6,-10,3.70E-002,0,0,0,0,0.00E+000,19.9,-10,29.6,-10,3.70E-002
"YIL131C","FKH1",29.9,-20,24.8,-25,1.10E-001,0,0,0,0,0.00E+000,29.9,-20,24.8,-25,1.10E-001
"YAR050W","FLO1",21,-5,28.8,-5,4.10E-001,0,0,0,0,0.00E+000,21,-5,28.8,-5,4.10E-001
"YER182W","FMP10",23.2,-20,24.4,-20,3.80E-001,0,0,0,0,0.00E+000,23.2,-20,24.4,-20,3.80E-001
"YDR070C","FMP16",18.6,-10,29.6,-10,7.20E-003,0,0,0,0,0.00E+000,18.6,-10,29.6,-10,7.20E-003
"YKR065C","FMP18",18.8,-5,29,-5,3.10E-001,0,0,0,0,0.00E+000,18.8,-5,29,-5,3.10E-001
"YLR454W","FMP27",22.7,-20,26.9,-30,1.10E-001,0,0,0,0,0.00E+000,22.7,-20,26.9,-30,1.10E-001
"YDR493W","FMP36",22,-25,25.4,-35,7.60E-002,0,0,0,0,0.00E+000,22,-25,25.4,-35,7.60E-002
"YKR049C","FMP46",23.1,-20,28.4,-35,1.50E-002,0,0,0,0,0.00E+000,23.1,-20,28.4,-35,1.50E-002
"YBR262C","FMP51",17.3,-10,29.6,-10,1.70E-003,0,0,0,0,0.00E+000,17.3,-10,29.6,-10,1.70E-003
"YDR110W","FOB1",32,-1810,25.8,-1790,2.40E-056,31.8,-140,28.1,-100,2.10E-002,32,-1950,25.9,-1890,2.60E-057
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"YLR449W","FPR4",28.6,-25,24.2,-25,1.40E-001,0,0,0,0,0.00E+000,28.6,-25,24.2,-25,1.40E-001
"YNR060W","FRE4",22.2,-5,28.8,-5,6.90E-001,0,0,0,0,0.00E+000,22.2,-5,28.8,-5,6.90E-001
"YCL058C","FYV5",21,-5,28.8,-5,6.90E-001,0,0,0,0,0.00E+000,21,-5,28.8,-5,6.90E-001
"YOR178C","GAC1",23.3,-10,29.3,-10,1.50E-001,0,0,0,0,0.00E+000,23.3,-10,29.3,-10,1.50E-001
,,,,,,,,,,,,,,,,
"YFL021W","GAT1",25.4,-25,23.9,-45,7.30E-001,0,0,0,0,0.00E+000,25.4,-25,23.9,-45,7.30E-001
"YDR283C","GCN2",25.7,-495,27,-565,2.80E-002,23.3,-180,28.8,-220,1.10E-008,25.1,-675,27.5,-785,2.80E-002
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"YOR120W","GCY1",26.5,-15,25.1,-20,3.30E-001,0,0,0,0,0.00E+000,26.5,-15,25.1,-20,3.30E-001
"YHR108W","GGA2",26.6,-15,25,-25,4.90E-001,0,0,0,0,0.00E+000,26.6,-15,25,-25,4.90E-001
"YHR061C","GIC1",24.4,-5,22.4,-5,7.30E-001,0,0,0,0,0.00E+000,24.4,-5,22.4,-5,7.30E-001
"YDR309C","GIC2",24,-5,29,-5,5.50E-001,0,0,0,0,0.00E+000,24,-5,29,-5,5.50E-001
"YDR096W","GIS1",31.2,-90,25.2,-90,2.50E-004,0,0,0,0,0.00E+000,31.2,-90,25.2,-90,2.50E-004
"YKR058W","GLG1",25.8,-5,29,-5,8.30E-001,0,0,0,0,0.00E+000,25.8,-5,29,-5,8.30E-001
"YER040W","GLN3",20.6,-45,24.9,-45,1.50E-002,0,0,0,0,0.00E+000,20.6,-45,24.9,-45,1.50E-002
"YDR272W","GLO2",21.4,-5,29,-5,3.40E-001,0,0,0,0,0.00E+000,21.4,-5,29,-5,3.40E-001
"YHR183W","GND1",24.2,-5,22.4,-5,8.40E-001,0,0,0,0,0.00E+000,24.2,-5,22.4,-5,8.40E-001
"YBR244W","GPX2",19.5,-10,29.6,-10,2.30E-002,0,0,0,0,0.00E+000,19.5,-10,29.6,-10,2.30E-002
"YHR104W","GRE3",18.6,-5,22.4,-5,6.00E-001,0,0,0,0,0.00E+000,18.6,-5,22.4,-5,6.00E-001
"YDR098C","GRX3",27.1,-15,28.5,-15,1.50E-001,0,0,0,0,0.00E+000,27.1,-15,28.5,-15,1.50E-001
"YER174C","GRX4",26.6,-10,22.7,-10,2.00E-001,0,0,0,0,0.00E+000,26.6,-10,22.7,-10,2.00E-001
"YDR108W","GSG1",24.7,-15,28.5,-15,8.10E-002,0,0,0,0,0.00E+000,24.7,-15,28.5,-15,8.10E-002
"YDR295C","HDA2",31.9,-20,26.9,-35,1.70E-001,0,0,0,0,0.00E+000,31.9,-20,26.9,-35,1.70E-001
"YBR248C","HIS7",24.9,-10,29.6,-10,2.90E-001,0,0,0,0,0.00E+000,24.9,-10,29.6,-10,2.90E-001
"YLR450W","HMG2",30,-25,24.6,-25,8.40E-002,0,0,0,0,0.00E+000,30,-25,24.6,-25,8.40E-002
"YDR305C","HNT2",23,-5,29,-5,5.90E-001,0,0,0,0,0.00E+000,23,-5,29,-5,5.90E-001
"YDR258C","HSP78",25.2,-10,27.4,-10,6.20E-001,0,0,0,0,0.00E+000,25.2,-10,27.4,-10,6.20E-001
"YNR032CA","HUB1",23.6,-5,28.8,-5,6.00E-001,0,0,0,0,0.00E+000,23.6,-5,28.8,-5,6.00E-001
"YHR094C","HXT1",17.4,-5,22.4,-5,2.90E-001,0,0,0,0,0.00E+000,17.4,-5,22.4,-5,2.90E-001
"YHR092C","HXT4",21.4,-5,22.4,-5,8.80E-001,0,0,0,0,0.00E+000,21.4,-5,22.4,-5,8.80E-001
"YOR126C","IAH1",24.2,-5,32.8,-5,5.40E-001,0,0,0,0,0.00E+000,24.2,-5,32.8,-5,5.40E-001
"YOR136W","IDH2",31.8,-200,26.1,-235,2.70E-009,30,-80,25.7,-100,5.20E-003,31.3,-280,26,-335,6.10E-011
"YLR384C","IKI3",27.5,-10,22.7,-10,3.40E-001,0,0,0,0,0.00E+000,27.5,-10,22.7,-10,3.40E-001
"YLR432W","IMD3",24.8,-20,26.9,-30,4.30E-001,0,0,0,0,0.00E+000,24.8,-20,26.9,-30,4.30E-001
"YHR046C","INM1",36.1,-20,23.2,-25,8.10E-004,22.7,-40,25.3,-60,3.20E-002,27.2,-60,24.6,-85,8.40E-001
"YDR123C","INO2",29.3,-50,26.8,-50,3.10E-001,0,0,0,0,0.00E+000,29.3,-50,26.8,-50,3.10E-001
,,,,,,,,,,,,,,,,
"YIL002C","INP51",30.1,-150,26.6,-150,4.10E-003,33.6,-140,30.4,-140,2.60E-002,31.8,-290,28.4,-290,1.40E-004
"YOR109W","INP53",32,-45,24.5,-45,1.10E-003,32.8,-140,29.8,-180,5.10E-002,32.6,-185,28.7,-225,2.50E-003
,,,,,,,,,,,,,,,,
"YDR315C","IPK1",36.6,-20,25.9,-55,1.40E-003,25.6,-40,25.3,-60,8.30E-001,29.3,-60,25.6,-115,9.90E-002
"YDR072C","IPT1",20.6,-10,29.6,-10,2.50E-002,0,0,0,0,0.00E+000,20.6,-10,29.6,-10,2.50E-002
"YHR079C","IRE1",27,-145,27.8,-145,6.20E-001,0,0,0,0,0.00E+000,27,-145,27.8,-145,6.20E-001
"YER180C","ISC10",22.9,-15,23.7,-15,7.20E-001,0,0,0,0,0.00E+000,22.9,-15,23.7,-15,7.20E-001
"YBR245C","ISW1",18.8,-10,29.6,-10,2.10E-002,0,0,0,0,0.00E+000,18.8,-10,29.6,-10,2.10E-002
"YHR158C","KEL1",27.7,-30,23.8,-65,1.40E-001,23,-20,23.7,-20,6.50E-001,25.8,-50,23.7,-85,5.00E-001
"YDR122W","KIN1",24.4,-40,25.9,-40,7.00E-001,0,0,0,0,0.00E+000,24.4,-40,25.9,-40,7.00E-001
"YHR082C","KSP1",27.7,-15,25,-25,4.20E-001,0,0,0,0,0.00E+000,27.7,-15,25,-25,4.20E-001
"YOR099W","KTR1",23.5,-10,29.3,-10,2.70E-001,0,0,0,0,0.00E+000,23.5,-10,29.3,-10,2.70E-001
"YKR061W","KTR2",15.4,-5,29,-5,1.50E-001,0,0,0,0,0.00E+000,15.4,-5,29,-5,1.50E-001
"YIL085C","KTR7",26.6,-20,24.4,-20,5.00E-001,0,0,0,0,0.00E+000,26.6,-20,24.4,-20,5.00E-001
"YOR171C","LCB4",29.9,-20,25.4,-65,1.60E-001,0,0,0,0,0.00E+000,29.9,-20,25.4,-65,1.60E-001
"YOR123C","LEO1",26.7,-15,27,-25,6.30E-001,0,0,0,0,0.00E+000,26.7,-15,27,-25,6.30E-001
"YOR108W","LEU9",27.3,-15,27,-25,1.00E+000,0,0,0,0,0.00E+000,27.3,-15,27,-25,1.00E+000
"YHR156C","LIN1",34.5,-15,25,-25,2.40E-002,27.7,-40,25.3,-60,3.50E-001,29.6,-55,25.2,-85,2.60E-002
"YHR081W","LRP1",24.4,-5,22.4,-5,6.00E-001,0,0,0,0,0.00E+000,24.4,-5,22.4,-5,6.00E-001
"YOR142W","LSC1",23.9,-10,29.3,-10,2.90E-001,0,0,0,0,0.00E+000,23.9,-10,29.3,-10,2.90E-001
"YGR057C","LST7",18.4,-5,32.8,-5,8.70E-002,0,0,0,0,0.00E+000,18.4,-5,32.8,-5,8.70E-002
"YAL024C","LTE1",27.9,-15,23.7,-15,3.30E-001,0,0,0,0,0.00E+000,27.9,-15,23.7,-15,3.30E-001
"YIL094C","LYS12",29.5,-45,25.1,-80,1.70E-001,27.1,-80,27.7,-120,4.90E-001,28,-125,26.6,-200,4.70E-001
"YNR050C","LYS9",31.2,-20,24.8,-50,2.40E-002,27.3,-40,25.3,-60,8.40E-001,28.6,-60,25,-110,8.10E-002
"YLR427W","MAG2",23.8,-5,28.8,-5,8.60E-001,0,0,0,0,0.00E+000,23.8,-5,28.8,-5,8.60E-001
"YBR299W","MAL32",23.8,-10,22.7,-10,1.00E+000,0,0,0,0,0.00E+000,23.8,-10,22.7,-10,1.00E+000
"YDR318W","MCM21",28.8,-20,26.9,-35,6.90E-001,0,0,0,0,0.00E+000,28.8,-20,26.9,-35,6.90E-001
"YBR227C","MCX1",20,-10,29.6,-10,5.30E-002,0,0,0,0,0.00E+000,20,-10,29.6,-10,5.30E-002
"YLR368W","MDM30",28.7,-20,23.8,-20,2.00E-001,0,0,0,0,0.00E+000,28.7,-20,23.8,-20,2.00E-001
"YGR100W","MDR1",23.8,-5,32.8,-5,3.10E-001,0,0,0,0,0.00E+000,23.8,-5,32.8,-5,3.10E-001
,,,,,,,,,,,,,,,,
"YGR121C","MEP1",24.3,-10,29.3,-10,2.10E-001,0,0,0,0,0.00E+000,24.3,-10,29.3,-10,2.10E-001
"YDR253C","MET32",28.7,-15,29.1,-20,5.10E-001,0,0,0,0,0.00E+000,28.7,-15,29.1,-20,5.10E-001
"YDR461W","MFA1",23.3,-20,24.4,-20,6.50E-001,0,0,0,0,0.00E+000,23.3,-20,24.4,-20,6.50E-001
"YDR296W","MHR1",23,-5,29,-5,4.60E-001,0,0,0,0,0.00E+000,23,-5,29,-5,4.60E-001
"YHR015W","MIP6",20.8,-5,22.4,-5,8.40E-001,0,0,0,0,0.00E+000,20.8,-5,22.4,-5,8.40E-001
"YDR245W","MNN10",32.5,-20,25.9,-55,1.10E-001,31.3,-20,27.7,-40,1.30E-001,31.9,-40,26.7,-95,2.20E-002
"YNR059W","MNT4",23.8,-5,28.8,-5,8.00E-001,0,0,0,0,0.00E+000,23.8,-5,28.8,-5,8.00E-001
"YOR177C","MPC54",32.7,-25,28.4,-25,1.60E-001,0,0,0,0,0.00E+000,32.7,-25,28.4,-25,1.60E-001
"YGR084C","MRP13",24.6,-5,32.8,-5,4.00E-001,0,0,0,0,0.00E+000,24.6,-5,32.8,-5,4.00E-001
"YDR116C","MRPL1",23.5,-10,29.6,-10,6.90E-002,0,0,0,0,0.00E+000,23.5,-10,29.6,-10,6.90E-002
"YDR322W","MRPL35",22.4,-5,29,-5,4.10E-001,0,0,0,0,0.00E+000,22.4,-5,29,-5,4.10E-001
"YML009C","MRPL39",21.4,-20,26.9,-30,3.20E-002,0,0,0,0,0.00E+000,21.4,-20,26.9,-30,3.20E-002
"YDR337W","MRPS28",34.3,-15,29.4,-15,3.30E-001,0,0,0,0,0.00E+000,34.3,-15,29.4,-15,3.30E-001
"YKR052C","MRS4",19.1,-20,27.2,-25,3.30E-003,0,0,0,0,0.00E+000,19.1,-20,27.2,-25,3.30E-003
"YHR039C","MSC7",18.6,-5,22.4,-5,4.50E-001,0,0,0,0,0.00E+000,18.6,-5,22.4,-5,4.50E-001
"YDR097C","MSH6",30.7,-20,26.2,-30,1.20E-001,0,0,0,0,0.00E+000,30.7,-20,26.2,-30,1.20E-001
"YDR335W","MSN5",29.1,-15,29.4,-15,8.20E-001,0,0,0,0,0.00E+000,29.1,-15,29.4,-15,8.20E-001
"YDR268W","MSW1",35,-35,26.9,-35,2.80E-003,30.2,-20,21.3,-20,1.20E-002,33.2,-55,24.8,-55,1.10E-004
"YDR277C","MTH1",28.9,-30,28.4,-35,8.90E-001,0,0,0,0,0.00E+000,28.9,-30,28.4,-35,8.90E-001
"YGR055W","MUP1",24.3,-15,27,-25,3.60E-001,0,0,0,0,0.00E+000,24.3,-15,27,-25,3.60E-001
"YHR086W","NAM8",24.9,-25,22.5,-45,3.40E-001,0,0,0,0,0.00E+000,24.9,-25,22.5,-45,3.40E-001
"YKR048C","NAP1",24.6,-45,27.2,-45,6.30E-002,0,0,0,0,0.00E+000,24.6,-45,27.2,-45,6.30E-002
"YHR124W","NDT80",24.2,-5,22.4,-5,6.60E-001,0,0,0,0,0.00E+000,24.2,-5,22.4,-5,6.60E-001
"YOR156C","NFI1",23.1,-10,29.3,-10,2.60E-001,0,0,0,0,0.00E+000,23.1,-10,29.3,-10,2.60E-001
"YKR103W","NFT1",26.1,-20,26.1,-25,9.50E-001,0,0,0,0,0.00E+000,26.1,-20,26.1,-25,9.50E-001
"YKR104W","NFT1",22.4,-5,28.8,-5,6.00E-001,0,0,0,0,0.00E+000,22.4,-5,28.8,-5,6.00E-001
"YLR351C","NIT3",27.8,-20,24.4,-20,2.50E-001,0,0,0,0,0.00E+000,27.8,-20,24.4,-20,2.50E-001
"YHR077C","NMD2",24,-5,22.4,-5,1.00E+000,0,0,0,0,0.00E+000,24,-5,22.4,-5,1.00E+000
"YLR363C","NMD4",29.5,-25,24,-55,3.30E-002,16.9,-40,21.1,-20,2.50E-002,21.8,-65,23.2,-75,1.10E-001
